"Member","Fabric LATEST","Forge 1.12.2","Fabric 1.18.2","Forge 1.18.2"
"org.waveapi.api.math.Vector3:ctor(double, double, double)","✅","❌","✅","✅"
"org.waveapi.api.math.Vector3#getX() -> double","✅","❌","✅","✅"
"org.waveapi.api.math.Vector3#getY() -> double","✅","❌","✅","✅"
"org.waveapi.api.math.Vector3#getZ() -> double","✅","❌","✅","✅"
"org.waveapi.api.math.Vector3#addX(double) -> org.waveapi.api.math.Vector3","✅","❌","✅","✅"
"org.waveapi.api.math.Vector3#addY(double) -> org.waveapi.api.math.Vector3","✅","❌","✅","✅"
"org.waveapi.api.math.Vector3#addZ(double) -> org.waveapi.api.math.Vector3","✅","❌","✅","✅"
"org.waveapi.api.math.Vector3#add(org.waveapi.api.math.Vector3) -> org.waveapi.api.math.Vector3","✅","❌","✅","✅"
"org.waveapi.api.math.Vector3#add(double, double, double) -> org.waveapi.api.math.Vector3","✅","❌","✅","✅"
"org.waveapi.api.math.Vector3#subtract(double, double, double) -> org.waveapi.api.math.Vector3","✅","❌","✅","✅"
"org.waveapi.api.math.Vector3#distanceTo(org.waveapi.api.math.Vector3) -> double","✅","❌","✅","✅"
"org.waveapi.api.math.Vector3#rotateX(float) -> org.waveapi.api.math.Vector3","✅","❌","✅","✅"
"org.waveapi.api.math.Vector3#rotateY(float) -> org.waveapi.api.math.Vector3","✅","❌","✅","✅"
"org.waveapi.api.math.Vector3#rotateZ(float) -> org.waveapi.api.math.Vector3","✅","❌","✅","✅"
"org.waveapi.api.content.items.WaveItem#setModel(org.waveapi.api.content.items.models.ItemModel) -> org.waveapi.api.content.items.WaveItem","✅","✅","❌","✅"
"org.waveapi.api.content.items.WaveItem#setTab(org.waveapi.api.content.items.WaveTab) -> org.waveapi.api.content.items.WaveItem","✅","✅","❌","✅"
"org.waveapi.api.content.items.WaveItem#addTranslation(java.lang.String, java.lang.String) -> org.waveapi.api.content.items.WaveItem","✅","✅","❌","✅"
"org.waveapi.api.content.items.WaveItem#setMaxStackSize(int) -> org.waveapi.api.content.items.WaveItem","✅","✅","❌","✅"
"org.waveapi.api.misc.Text#getText() -> java.lang.String","✅","✅","✅","❌"
"org.waveapi.api.misc.Text.plain(java.lang.String) -> org.waveapi.api.misc.Text","✅","✅","✅","❌"
"org.waveapi.api.misc.Text.translatable(java.lang.String) -> org.waveapi.api.misc.Text","✅","✅","✅","❌"
"org.waveapi.api.content.items.WaveTab:ctor(java.lang.String, org.waveapi.api.content.items.models.ItemModel, org.waveapi.api.WaveMod)","✅","✅","✅","❌"
"org.waveapi.api.content.items.WaveItem#getDefaultStack() -> org.waveapi.api.world.inventory.ItemStack","✅","✅","✅","❌"
"org.waveapi.api.content.items.block.WaveBlock:ctor(java.lang.String, org.waveapi.api.WaveMod, org.waveapi.api.content.items.block.BlockMaterial)","✅","✅","✅","❌"
"org.waveapi.api.content.items.block.WaveBlock:ctor(java.lang.String, org.waveapi.api.WaveMod)","✅","✅","✅","❌"
"org.waveapi.api.content.items.block.WaveBlock#addTranslation(java.lang.String, java.lang.String) -> org.waveapi.api.content.items.block.WaveBlock","✅","✅","✅","❌"
"org.waveapi.api.content.items.block.WaveBlock#setModels(org.waveapi.api.content.items.block.model.BlockModel) -> org.waveapi.api.content.items.block.WaveBlock","✅","✅","✅","❌"
"org.waveapi.api.content.items.block.WaveBlock#setTab(org.waveapi.api.content.items.WaveTab) -> org.waveapi.api.content.items.block.WaveBlock","✅","✅","✅","❌"
"org.waveapi.api.content.items.block.model.SixSidedBlockModel:ctor(java.lang.String)","✅","✅","✅","❌"
"org.waveapi.api.content.items.block.BlockMaterial.GLASS","✅","✅","✅","❌"
"org.waveapi.api.content.items.block.BlockMaterial.STONE","✅","✅","✅","❌"
"org.waveapi.api.content.items.block.BlockMaterial.SOIL","✅","✅","✅","❌"
"org.waveapi.api.misc.ClientOnly.getPlayer() -> org.waveapi.api.world.entity.living.EntityPlayer","✅","❌","✅","❌"
"org.waveapi.api.misc.NBT#writeInt(java.lang.String, int) -> void","✅","❌","✅","❌"
"org.waveapi.api.misc.NBT#writeFloat(java.lang.String, float) -> void","✅","❌","✅","❌"
"org.waveapi.api.misc.NBT#writeString(java.lang.String, java.lang.String) -> void","✅","❌","✅","❌"
"org.waveapi.api.misc.NBT#readInt(java.lang.String) -> int","✅","❌","✅","❌"
"org.waveapi.api.misc.NBT#readFloat(java.lang.String) -> float","✅","❌","✅","❌"
"org.waveapi.api.misc.NBT#readString(java.lang.String) -> java.lang.String","✅","❌","✅","❌"
"org.waveapi.api.WaveMod#registerEvents(org.waveapi.api.events.Events) -> void","✅","❌","✅","❌"
"org.waveapi.api.WaveMod#registerClientEvents(org.waveapi.api.events.Events) -> void","✅","❌","✅","❌"
"org.waveapi.api.WaveMod#getResource(java.lang.String) -> java.io.InputStream","✅","❌","✅","❌"
"org.waveapi.api.world.entity.living.EntityLiving:ctor(org.waveapi.api.content.entities.EntityCreation)","✅","❌","✅","❌"
"org.waveapi.api.world.entity.living.EntityPlayer#sendMessage(java.lang.String) -> void","✅","❌","✅","❌"
"org.waveapi.api.world.entity.living.EntityPlayer#giveItem(org.waveapi.api.world.inventory.ItemStack) -> void","✅","❌","✅","❌"
"org.waveapi.api.world.entity.living.EntityPlayer#sendActionBar(java.lang.String) -> void","✅","❌","✅","❌"
"org.waveapi.api.world.entity.EntityBase#getID() -> int","✅","❌","✅","❌"
"org.waveapi.api.world.entity.EntityBase#getName() -> java.lang.String","✅","❌","✅","❌"
"org.waveapi.api.world.entity.EntityBase#getPosition() -> org.waveapi.api.math.Vector3","✅","❌","✅","❌"
"org.waveapi.api.world.entity.EntityBase#setPosition(org.waveapi.api.math.Vector3) -> void","✅","❌","✅","❌"
"org.waveapi.api.world.entity.EntityBase#getBlockLookingAt(double) -> org.waveapi.api.math.BlockPos","✅","❌","✅","❌"
"org.waveapi.api.world.entity.EntityBase#getBlockLookingAt(double, boolean) -> org.waveapi.api.math.BlockPos","✅","❌","✅","❌"
"org.waveapi.api.world.entity.EntityBase#getVelocity() -> org.waveapi.api.math.Vector3","✅","❌","✅","❌"
"org.waveapi.api.world.entity.EntityBase#destroy() -> void","✅","❌","✅","❌"
"org.waveapi.api.world.entity.EntityBase#handleAttack() -> boolean","✅","❌","✅","❌"
"org.waveapi.api.world.entity.EntityBase:ctor(org.waveapi.api.content.entities.EntityCreation)","✅","❌","✅","❌"
"org.waveapi.api.world.entity.EntityBase#getWorld() -> org.waveapi.api.world.world.World","✅","❌","✅","❌"
"org.waveapi.api.world.entity.EntityBase#damage(org.waveapi.api.world.entity.DamageSource, float) -> boolean","✅","❌","✅","❌"
"org.waveapi.api.world.entity.EntityBase#tick() -> void","✅","❌","✅","❌"
"org.waveapi.api.world.entity.DamageSource#doesIgnoreArmour() -> boolean","❌","❌","❌","✅"
"org.waveapi.api.world.entity.EntityGroup.AMBIENT","✅","❌","✅","❌"
"org.waveapi.api.world.entity.EntityGroup.MISC","✅","❌","✅","❌"
"org.waveapi.api.world.entity.EntityGroup.AXOLOTLS","✅","❌","✅","❌"
"org.waveapi.api.world.entity.EntityGroup.CREATURE","✅","❌","✅","❌"
"org.waveapi.api.world.entity.EntityGroup.MONSTER","✅","❌","✅","❌"
"org.waveapi.api.world.entity.EntityGroup.UNDERGROUND_WATER_CREATURE","✅","❌","✅","❌"
"org.waveapi.api.world.entity.EntityGroup.WATER_AMBIENT","✅","❌","✅","❌"
"org.waveapi.api.world.entity.EntityGroup.WATER_CREATURE","✅","❌","✅","❌"
"org.waveapi.api.world.entity.interfaces.FlyingItemBasedEntity#getItem() -> org.waveapi.api.world.inventory.ItemStack","✅","❌","✅","❌"
"org.waveapi.api.world.world.BlockState#getBlock() -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.world.world.World#setBlockState(org.waveapi.api.math.BlockPos, org.waveapi.api.world.world.BlockState) -> boolean","✅","❌","✅","❌"
"org.waveapi.api.world.world.World#getBlockState(org.waveapi.api.math.BlockPos) -> org.waveapi.api.world.world.BlockState","✅","❌","✅","❌"
"org.waveapi.api.world.world.World#isClientSide() -> boolean","✅","❌","✅","❌"
"org.waveapi.api.world.world.World#addEntity(org.waveapi.api.world.entity.EntityBase) -> void","✅","❌","✅","❌"
"org.waveapi.api.content.items.tools.WaveAxeItem#setAttackDamage(int) -> org.waveapi.api.content.items.tools.WaveAxeItem","✅","❌","✅","❌"
"org.waveapi.api.content.items.tools.WaveAxeItem#setAttackSpeed(float) -> org.waveapi.api.content.items.tools.WaveAxeItem","✅","❌","✅","❌"
"org.waveapi.api.content.items.tools.WaveHoeItem#setAttackDamage(int) -> org.waveapi.api.content.items.tools.WaveHoeItem","✅","❌","✅","❌"
"org.waveapi.api.content.items.tools.WaveHoeItem#setAttackSpeed(float) -> org.waveapi.api.content.items.tools.WaveHoeItem","✅","❌","✅","❌"
"org.waveapi.api.content.items.tools.WaveSwordItem#setAttackDamage(int) -> org.waveapi.api.content.items.tools.WaveSwordItem","✅","❌","✅","❌"
"org.waveapi.api.content.items.tools.WaveSwordItem#setAttackSpeed(float) -> org.waveapi.api.content.items.tools.WaveSwordItem","✅","❌","✅","❌"
"org.waveapi.api.content.items.tools.WaveToolMaterial#setBaseDurability(int) -> org.waveapi.api.content.items.tools.WaveToolMaterial","✅","❌","✅","❌"
"org.waveapi.api.content.items.tools.WaveToolMaterial#setMiningSpeedMultiplier(float) -> org.waveapi.api.content.items.tools.WaveToolMaterial","✅","❌","✅","❌"
"org.waveapi.api.content.items.tools.WaveToolMaterial#setAttackDamage(float) -> org.waveapi.api.content.items.tools.WaveToolMaterial","✅","❌","✅","❌"
"org.waveapi.api.content.items.tools.WaveToolMaterial#setMiningLevel(int) -> org.waveapi.api.content.items.tools.WaveToolMaterial","✅","❌","✅","❌"
"org.waveapi.api.content.items.tools.WaveToolMaterial#setEnchantability(int) -> org.waveapi.api.content.items.tools.WaveToolMaterial","✅","❌","✅","❌"
"org.waveapi.api.content.items.tools.WaveToolMaterial#setRepairIngredient(org.waveapi.api.content.items.recipes.ingredients.Ingredient) -> org.waveapi.api.content.items.tools.WaveToolMaterial","✅","❌","✅","❌"
"org.waveapi.api.content.items.tools.WavePickaxeItem#setAttackDamage(int) -> org.waveapi.api.content.items.tools.WavePickaxeItem","✅","❌","✅","❌"
"org.waveapi.api.content.items.tools.WavePickaxeItem#setAttackSpeed(float) -> org.waveapi.api.content.items.tools.WavePickaxeItem","✅","❌","✅","❌"
"org.waveapi.api.content.items.models.SimpleToolModel:ctor(java.lang.String)","✅","❌","✅","❌"
"org.waveapi.api.content.items.drop.SilkTouchDrop:ctor(org.waveapi.api.content.items.drop.Drop, org.waveapi.api.content.items.drop.Drop)","✅","❌","✅","❌"
"org.waveapi.api.content.items.drop.DropHelper.ore(org.waveapi.api.content.items.block.WaveBlock, org.waveapi.api.content.items.WaveItem) -> org.waveapi.api.content.items.drop.Drop","✅","❌","✅","❌"
"org.waveapi.api.content.items.drop.DropHelper.ore(org.waveapi.api.content.items.block.WaveBlock, org.waveapi.api.content.items.WaveItem, int, int) -> org.waveapi.api.content.items.drop.Drop","✅","❌","✅","❌"
"org.waveapi.api.content.items.drop.ItemDrop:ctor(java.lang.String, int, int)","✅","❌","✅","❌"
"org.waveapi.api.content.items.drop.ItemDrop:ctor(org.waveapi.api.content.items.WaveItem, int, int)","✅","❌","✅","❌"
"org.waveapi.api.content.items.drop.ItemDrop:ctor(java.lang.String)","✅","❌","✅","❌"
"org.waveapi.api.content.items.drop.ItemDrop:ctor(org.waveapi.api.content.items.WaveItem)","✅","❌","✅","❌"
"org.waveapi.api.content.items.drop.ItemDrop#apply(org.waveapi.api.content.items.drop.DropFunction) -> org.waveapi.api.content.items.drop.ItemDrop","✅","❌","✅","❌"
"org.waveapi.api.content.items.recipes.WaveShapedRecipe:ctor(java.lang.String, java.lang.String, org.waveapi.api.WaveMod)","✅","❌","✅","❌"
"org.waveapi.api.content.items.recipes.WaveShapedRecipe:ctor(org.waveapi.api.content.items.WaveItem, java.lang.String, org.waveapi.api.WaveMod)","✅","❌","✅","❌"
"org.waveapi.api.content.items.recipes.WaveShapedRecipe#addIngredient(char, java.lang.String) -> org.waveapi.api.content.items.recipes.WaveShapedRecipe","✅","❌","✅","❌"
"org.waveapi.api.content.items.recipes.ingredients.SimpleItemIngredient:ctor(org.waveapi.api.content.items.WaveItem)","✅","❌","✅","❌"
"org.waveapi.api.content.items.WaveItem#onUse(org.waveapi.api.world.inventory.ItemStack, org.waveapi.api.world.inventory.UseHand, org.waveapi.api.world.entity.living.EntityPlayer, org.waveapi.api.world.world.World) -> org.waveapi.api.world.inventory.ItemUseResult","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.blockentities.DeltaTicking#tick(int) -> void","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.blockentities.DeltaTicking#maxTicksUnticked() -> int","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.blockentities.TileEntityBlock#getTileEntity() -> java.lang.Class","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.blockentities.WaveTileEntity:ctor(org.waveapi.api.content.items.block.blockentities.TileEntityCreation)","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.blockentities.WaveTileEntity#save(org.waveapi.api.misc.NBT) -> void","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.blockentities.WaveTileEntity#load(org.waveapi.api.misc.NBT) -> void","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.blockentities.WaveTileEntity#markNeedsSaving() -> void","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.blockentities.WaveTileEntity#getWorld() -> org.waveapi.api.world.world.World","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.blockentities.WaveTileEntity#getPosition() -> org.waveapi.api.math.BlockPos","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.blockentities.TileEntityCreation#getPosition() -> org.waveapi.api.math.BlockPos","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.blockentities.TileEntityCreation#getState() -> org.waveapi.api.world.world.BlockState","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.WaveBlock#enableRandomTick() -> void","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.WaveBlock#onRandomTick(org.waveapi.api.world.world.BlockState, org.waveapi.api.math.BlockPos, org.waveapi.api.world.world.World) -> void","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.WaveBlock#getDefaultState() -> org.waveapi.api.world.world.BlockState","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.WaveBlock#setHardness(float) -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.WaveBlock#setDrop() -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.WaveBlock#setDrop(org.waveapi.api.content.items.drop.Drop) -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.WaveBlock#setDrop(org.waveapi.api.content.items.drop.Drop) -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.WaveBlock#getAsSimpleDrop() -> org.waveapi.api.content.items.drop.ItemDrop","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.WaveBlock#setMiningLevelRequired(int) -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.WaveBlock#makePickaxeEffective() -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.WaveBlock#makeAxeEffective() -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.WaveBlock#makeShovelEffective() -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.WaveBlock#makeHoeEffective() -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.WaveBlock#onUse(org.waveapi.api.world.world.BlockState, org.waveapi.api.math.BlockPos, org.waveapi.api.world.world.World, org.waveapi.api.world.entity.living.EntityPlayer, org.waveapi.api.world.inventory.UseHand) -> org.waveapi.api.world.inventory.ItemUseResult","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.AIR -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.STONE -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.GRANITE -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.POLISHED_GRANITE -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.DIORITE -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.POLISHED_DIORITE -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.ANDESITE -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.POLISHED_ANDESITE -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.GRASS_BLOCK -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.DIRT -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.COARSE_DIRT -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.PODZOL -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.COBBLESTONE -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.OAK_PLANKS -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.SPRUCE_PLANKS -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.BIRCH_PLANKS -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.JUNGLE_PLANKS -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.ACACIA_PLANKS -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.DARK_OAK_PLANKS -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.OAK_SAPLING -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.SPRUCE_SAPLING -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.BIRCH_SAPLING -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.JUNGLE_SAPLING -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.ACACIA_SAPLING -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.DARK_OAK_SAPLING -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.BEDROCK -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.WATER -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.LAVA -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.SAND -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.RED_SAND -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.GRAVEL -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.GOLD_ORE -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.DEEPSLATE_GOLD_ORE -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.IRON_ORE -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.DEEPSLATE_IRON_ORE -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.COAL_ORE -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.DEEPSLATE_COAL_ORE -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.NETHER_GOLD_ORE -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.OAK_LOG -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.SPRUCE_LOG -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.BIRCH_LOG -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.JUNGLE_LOG -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.ACACIA_LOG -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.DARK_OAK_LOG -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.STRIPPED_SPRUCE_LOG -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.STRIPPED_BIRCH_LOG -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.STRIPPED_JUNGLE_LOG -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.STRIPPED_ACACIA_LOG -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.STRIPPED_DARK_OAK_LOG -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.STRIPPED_OAK_LOG -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.OAK_WOOD -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.SPRUCE_WOOD -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.BIRCH_WOOD -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.JUNGLE_WOOD -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.ACACIA_WOOD -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
